id,file
12236,bin/node_exporter
904718,etc/group
906298,usr/bin/dash
906096,usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
905111,etc/ld.so.cache
10496,etc/passwd
10489,etc/group
8740,bin/node_exporter
559612,etc/group
560576,usr/bin/dash
959771,etc/group
959892,etc/passwd
958122,usr/bin/bash
957995,usr/lib64/ld-linux-x86-64.so.2
957542,etc/ld.so.cache
959480,usr/lib64/libtinfo.so.6.2
957810,usr/lib64/libc.so.6
958145,etc/nsswitch.conf
983073,etc/group
985086,etc/passwd
985982,bin/dash
985977,lib/x86_64-linux-gnu/ld-2.24.so
983843,etc/ld.so.cache
985242,lib/x86_64-linux-gnu/libc-2.24.so
560650,etc/passwd
902473,etc/passwd
906091,usr/lib/x86_64-linux-gnu/libc.so.6
559622,usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
560559,etc/ld.so.cache
558023,usr/lib/x86_64-linux-gnu/libc.so.6
